"ID","Title","Automation Type","Created By","Created On","Estimate","Expected Result","Forecast","Goals","Mission","Preconditions","Priority","References","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Expected Result)","Steps (Step)","Suite","Suite ID","Template","Type","Updated By","Updated On"
"C2842","Copy File"," None","IT Academy","8/6/2022 10:02 AM","","","","","","-! Open programm !-
Create file's (name to 255sym, size to 50Gb, type- aac, adt, adts, accdb, accde, accdr)
Create folder's (Path's- Root, LOcal drive, SubDirectories, USB Flash, FTP, Cloud's)
","Critical","","Func","1","","Shishkin > Func","1. Click on button ""Open File""![](index.php?/attachments/get/2276)

Expected Result:
Open dialog Window with tilte ""choose files""
2. Open source folder ""%Path's%"" and add file
Expected Result:
file in list app
3. Click on button ""Destanation Folder""
Expected Result:
Open dialog Window with tilte ""Обзор папокs""
4. Open distanation folder ""%Path's%""
Expected Result:
path to distanation folder is install
5. select checkbox file and click button ""Начать грузить""
Expected Result:
file is on distanation folder","","1. Open dialog Window with tilte ""choose files""
2. file in list app
3. Open dialog Window with tilte ""Обзор папокs""
4. path to distanation folder is install
5. file is on distanation folder","1. Click on button ""Open File""![](index.php?/attachments/get/2276)

2. Open source folder ""%Path's%"" and add file
3. Click on button ""Destanation Folder""
4. Open distanation folder ""%Path's%""
5. select checkbox file and click button ""Начать грузить""","Master","S25","Test Case (Steps)","Functional","IT Academy","8/6/2022 10:49 AM"
"C2857","Проверка dropdown в поле ""Имя"""," None","krkv_s@mail.ru","8/9/2022 2:51 PM","","","","","","","Medium","","Func","1","","Shishkin > Func","","","","","Master","S25","Test Case (Text)","Other","krkv_s@mail.ru","8/9/2022 2:51 PM"
"C2840","Копирование файла"," None","zasyadko1507@gmail.com","8/6/2022 10:02 AM","300s","","","","","Открыть программу hardload.exe
Создать файл для копирования (до 255 символов, размер до 50 ГБ, расширения txt,pdf,zip)
Создать источник, куда мы будем копировать файл (Корень диска C, вложенные папки, флешки, облака)","Critical","","Zasyadko. Функциональные тесты","1","","Zasyadko > Zasyadko. Функциональные тесты","1. Нажать кнопку ""найти и добавить файл в список""
Expected Result:
Открывается окно с именем ""choose file"" выбора файла
2. Выбрать файл в папке c:/... и выбрать файл ""Имя""
Expected Result:
Файлы появились в окне программы
3. Нажать на ""Выбрать папку куда копировать файлы"" и нажать ""Ок""
Expected Result:
Открылось окно, где можно выбрать место копирования файлов и Отобразился путь с выбранной папкой, куда файл будет скопирован
4. Выбрать файлы чекбоксами
Expected Result:
Выделились те файлы, которые мы выбрали
5. Нажать на кнопку ""Начать грузить""
Expected Result:
Файл появится в папке назначения","","1. Открывается окно с именем ""choose file"" выбора файла
2. Файлы появились в окне программы
3. Открылось окно, где можно выбрать место копирования файлов и Отобразился путь с выбранной папкой, куда файл будет скопирован
4. Выделились те файлы, которые мы выбрали
5. Файл появится в папке назначения","1. Нажать кнопку ""найти и добавить файл в список""
2. Выбрать файл в папке c:/... и выбрать файл ""Имя""
3. Нажать на ""Выбрать папку куда копировать файлы"" и нажать ""Ок""
4. Выбрать файлы чекбоксами
5. Нажать на кнопку ""Начать грузить""","Master","S25","Test Case (Steps)","Functional","zasyadko1507@gmail.com","8/6/2022 10:47 AM"
"C2849","Удаление файла"," None","zasyadko1507@gmail.com","8/6/2022 11:08 AM","900s","","","","","","Critical","","Zasyadko. Функциональные тесты","1","","Zasyadko > Zasyadko. Функциональные тесты","1. Выбрать файл ""Паспорт"" из списка файлов чекбоксом и нажать кнопку ""Удалить выделенные файлы из списка""
Expected Result:
Файл пропадет из списка","","1. Файл пропадет из списка","1. Выбрать файл ""Паспорт"" из списка файлов чекбоксом и нажать кнопку ""Удалить выделенные файлы из списка""","Master","S25","Test Case (Steps)","Functional","zasyadko1507@gmail.com","8/6/2022 11:26 AM"
"C2851","Остановить копирование файлов"," None","zasyadko1507@gmail.com","8/6/2022 11:10 AM","900s","","","","","","High","","Zasyadko. Функциональные тесты","1","","Zasyadko > Zasyadko. Функциональные тесты","1. Выбрать несколько файлов чекбоксом в списке файлов и нажать на кнопку ""Начать грузить"", как только пойдет копирование файлов нажать на кнопку ""Остановить грузить""![](index.php?/attachments/get/2277)

Expected Result:
Файлы не скопируются в папку ""C:\Users\79994\Desktop\Папка.Папка""","","1. Файлы не скопируются в папку ""C:\Users\79994\Desktop\Папка.Папка""","1. Выбрать несколько файлов чекбоксом в списке файлов и нажать на кнопку ""Начать грузить"", как только пойдет копирование файлов нажать на кнопку ""Остановить грузить""![](index.php?/attachments/get/2277)","Master","S25","Test Case (Steps)","Functional","zasyadko1507@gmail.com","8/6/2022 11:14 AM"
"C2853","Проверка табуляции"," None","zasyadko1507@gmail.com","8/6/2022 11:15 AM","","","","","","","Medium","","Zasyadko. Нефункциональные тесты","1","","Zasyadko > Zasyadko. Нефункциональные тесты","1. В приложении при нажатии на кнопку ""Tab"", чтобы переключиться между кнопками
Expected Result:
Идет переключение по всем кнопкам в приложении по порядку","","1. Идет переключение по всем кнопкам в приложении по порядку","1. В приложении при нажатии на кнопку ""Tab"", чтобы переключиться между кнопками","Master","S25","Test Case (Steps)","Other","zasyadko1507@gmail.com","8/6/2022 11:16 AM"
"C2855","Отправка нескольких файлов"," None","zasyadko1507@gmail.com","8/6/2022 11:21 AM","","","","","","","High","","Zasyadko. Тесты производительности","1","","Zasyadko > Zasyadko. Тесты производительности","1. Выбрать 5 файлов из списка и отправить в выбранную папку
Expected Result:
Файлы скопируются в папку C:\Users\79994\Desktop\Папка.Папка","","1. Файлы скопируются в папку C:\Users\79994\Desktop\Папка.Папка","1. Выбрать 5 файлов из списка и отправить в выбранную папку","Master","S25","Test Case (Steps)","Other","zasyadko1507@gmail.com","8/6/2022 11:22 AM"
"C2828","Smoke test hardload.exe"," None","IT Academy","8/6/2022 9:34 AM","7200s","","","","","ОС Windows 10
Открыта программа hardload.exe
","Critical","","Удалить","1","Тестируем интерфейс (внешний вид) и функционал (работоспособность) программы.","Zasyadko > Удалить","1. Нажать на кнопку ""..."" (описание: ""найти и добавить список"")
Expected Result:
Открывается папка ""Мои документы"", где можно выбрать файлы
2. Выбрать файл ""Тест.txt"" в папке ""Мои документы""
Expected Result:
Файл добавляется в программу и указан его путь в формате ""C:\Users\...\Тест.txt""
3. Выделить файл ""Тест.txt"" в списке загруженных файлов
Expected Result:
Файл выделяется галочкой, с ним можно взаимодействовать
4. Нажать на кнопку ""Удалить выделенные файлы из списка""
Expected Result:
Файл удаляется из списка","","1. Открывается папка ""Мои документы"", где можно выбрать файлы
2. Файл добавляется в программу и указан его путь в формате ""C:\Users\...\Тест.txt""
3. Файл выделяется галочкой, с ним можно взаимодействовать
4. Файл удаляется из списка","1. Нажать на кнопку ""..."" (описание: ""найти и добавить список"")
2. Выбрать файл ""Тест.txt"" в папке ""Мои документы""
3. Выделить файл ""Тест.txt"" в списке загруженных файлов
4. Нажать на кнопку ""Удалить выделенные файлы из списка""","Master","S25","Test Case (Steps)","Functional","IT Academy","8/6/2022 9:34 AM"
"C2815","Добавление файла в программу"," None","IT Academy","8/6/2022 9:33 AM","","","","","","1.Создать файлы в папке на рабочем столе:
-названия от 0 до 255 символов
-форматов txt, exe, bin, mp3, jpg
2.Создать файлы на USB носителе:
-названия от 0 до 255 символов
-форматов txt, exe, bin, mp3, jpg
3.Создать файлы на FTP:
-названия от 0 до 255 символов
-форматов txt, exe, bin, mp3, jpg
4.Создать файлы на облаке Windows:
-названия от 0 до 255 символов
-форматов txt, exe, bin, mp3, jpg
2.Открыть программу hardload.exe","High","","Функциональные проверки hardload.exe","1","","Микеладзе > Функциональные проверки hardload.exe","1. 1.Нажать на кнопку ""..."" в левом верхнем углу 

Expected Result:
Открывается окно диалога выбора файлов 
2. 1.Выбрать поочередно созданные в описании файлы из папки рабочего стола
2.Нажать кнопку открыть 
Expected Result:
1.Окно диалога выбора файла закрывается
2.Файлы добавились в список файлов 
3.В строках списка файлов  отображается название файлов 

3. 1.Выбрать поочередно созданные в описании файлы из USB носителя
2.Нажать кнопку открыть 
Expected Result:
1.Окно диалога выбора файла закрывается
2.Файлы добавились в список файлов 
3.В строках списка файлов  отображается название файлов 
4. 1.Выбрать поочередно созданные в описании файлы из FTP
2.Нажать кнопку открыть 
Expected Result:
1.Окно диалога выбора файла закрывается
2.Файлы добавились в список файлов 
3.В строках списка файлов  отображается название файлов 
5. 1.Выбрать поочередно созданные в описании файлы из облака Windows
2.Нажать кнопку открыть 
Expected Result:
1.Окно диалога выбора файла закрывается
2.Файлы добавились в список файлов 
3.В строках списка файлов  отображается название файлов","","1. Открывается окно диалога выбора файлов 
2. 1.Окно диалога выбора файла закрывается
2.Файлы добавились в список файлов 
3.В строках списка файлов  отображается название файлов 

3. 1.Окно диалога выбора файла закрывается
2.Файлы добавились в список файлов 
3.В строках списка файлов  отображается название файлов 
4. 1.Окно диалога выбора файла закрывается
2.Файлы добавились в список файлов 
3.В строках списка файлов  отображается название файлов 
5. 1.Окно диалога выбора файла закрывается
2.Файлы добавились в список файлов 
3.В строках списка файлов  отображается название файлов","1. 1.Нажать на кнопку ""..."" в левом верхнем углу 

2. 1.Выбрать поочередно созданные в описании файлы из папки рабочего стола
2.Нажать кнопку открыть 
3. 1.Выбрать поочередно созданные в описании файлы из USB носителя
2.Нажать кнопку открыть 
4. 1.Выбрать поочередно созданные в описании файлы из FTP
2.Нажать кнопку открыть 
5. 1.Выбрать поочередно созданные в описании файлы из облака Windows
2.Нажать кнопку открыть","Master","S25","Test Case (Steps)","Other","bastidigger@yandex.ru","8/7/2022 12:55 PM"
"C2816","Удаление  файла"," None","IT Academy","8/6/2022 9:33 AM","","","","","","1.Создать файлы в папке на рабочем столе:
-названия от 0 до 255 символов
-форматов txt, exe, bin, mp3, jpg
2.Создать файлы на USB носителе:
-названия от 0 до 255 символов
-форматов txt, exe, bin, mp3, jpg
3.Создать файлы на FTP:
-названия от 0 до 255 символов
-форматов txt, exe, bin, mp3, jpg
4.Создать файлы на облаке Windows:
-названия от 0 до 255 символов
-форматов txt, exe, bin, mp3, jpg
2.Открыть программу hardload.exe
3.Добавить в список файлов созданные выше файлы","Medium","","Функциональные проверки hardload.exe","1","","Микеладзе > Функциональные проверки hardload.exe","1. 1.Кликнуть курсором на квадрат около названия созданного файла txt Рабочего стола в списке файлов
Expected Result:
В квадрате около названия файла появилась галочка 
2. 1.Нажать на кнопку ""х""

Expected Result:
Всплывет окно ""Вопрос"":
Удалить из списка?
Да Нет

3. Нажимаем на кнопку ""Нет"" в окне ""Вопрос""
Expected Result:
Окно вопроса закрывается 
Файл не удален
4. 1.Нажать кнопку ""х""
2.Нажимаем на кнопку ""Да"" в окне ""Вопрос""
Expected Result:
Окно вопроса закрывается 
Файл удален из списка

5. 1.Удалить таким же способом файлы из папки Рабочий стол с другими форматами (exe, bin, mp3, jpg)
Expected Result:
Файлы удалены из списка

6. 1.Удалить таким же способом файлы из папки USB с форматами txt, exe, bin, mp3, jpg
Expected Result:
Файлы удалены из списка
7. 1.Удалить таким же способом файлы из папки FTP с форматами txt, exe, bin, mp3, jpg
Expected Result:
Файлы удалены из списка
8. 1.Удалить таким же способом файлы из папки облака WIndows с форматами txt, exe, bin, mp3, jpg
Expected Result:
Файлы удалены из списка","","1. В квадрате около названия файла появилась галочка 
2. Всплывет окно ""Вопрос"":
Удалить из списка?
Да Нет

3. Окно вопроса закрывается 
Файл не удален
4. Окно вопроса закрывается 
Файл удален из списка

5. Файлы удалены из списка

6. Файлы удалены из списка
7. Файлы удалены из списка
8. Файлы удалены из списка","1. 1.Кликнуть курсором на квадрат около названия созданного файла txt Рабочего стола в списке файлов
2. 1.Нажать на кнопку ""х""

3. Нажимаем на кнопку ""Нет"" в окне ""Вопрос""
4. 1.Нажать кнопку ""х""
2.Нажимаем на кнопку ""Да"" в окне ""Вопрос""
5. 1.Удалить таким же способом файлы из папки Рабочий стол с другими форматами (exe, bin, mp3, jpg)
6. 1.Удалить таким же способом файлы из папки USB с форматами txt, exe, bin, mp3, jpg
7. 1.Удалить таким же способом файлы из папки FTP с форматами txt, exe, bin, mp3, jpg
8. 1.Удалить таким же способом файлы из папки облака WIndows с форматами txt, exe, bin, mp3, jpg","Master","S25","Test Case (Steps)","Other","bastidigger@yandex.ru","8/7/2022 1:05 PM"
